tokenizer,lang_code,median_premium,p90_premium,total_premium,tokens_per_char,bytes_per_char,script
cl100k,ace_Arab,3.736842105263158,4.713445378151261,3.772937973659039,0.9186395435286951,1.79061080805095,Arab
cl100k,ace_Latn,1.967741935483871,2.532941176470588,1.9943344860569494,0.3818923431324894,1.0177807835098027,Latn
cl100k,acm_Arab,2.9642857142857144,3.6869318181818183,2.9767125303509676,0.7120993434601236,1.8170577156636685,Arab
cl100k,acq_Arab,3.0,3.721875,3.003090280332573,0.7090676928155104,1.8180120392970995,Arab
cl100k,aeb_Arab,2.90180006428801,3.652972493345164,2.9128099477595466,0.7062853472730192,1.815739237480152,Arab
cl100k,afr_Latn,1.6923076923076923,2.0,1.6885071002869545,0.32856089511851155,1.0114681690302167,Latn
cl100k,ajp_Arab,2.8554006968641117,3.5,2.8319108233389745,0.7058807347021119,1.805192066097514,Arab
cl100k,aka_Latn,2.648529411764706,3.649705882352941,2.6950555514678833,0.5522453318055378,1.0998846614852285,Latn
cl100k,als_Latn,2.2222222222222223,2.8181818181818183,2.2464130674711207,0.4151618166983954,1.0777943976067446,Latn
cl100k,amh_Ethi,7.622023809523809,9.586987522281639,7.593407401957178,2.3688656291603545,2.5874535187990633,Ethi
cl100k,apc_Arab,2.8333333333333335,3.4782608695652173,2.81686410124347,0.709061443719035,1.8142705005324813,Arab
cl100k,arb_Arab,3.0208423795049937,3.7723776223776224,3.0272974762710616,0.7074277854195323,1.8163342503438789,Arab
cl100k,arb_Latn,2.449944382647386,3.124621212121212,2.4496357883893753,0.4327644252641978,1.0004289558175508,Latn
cl100k,ars_Arab,3.0285714285714285,3.764235294117647,3.032043263924656,0.7078613084144257,1.8169130214461784,Arab
cl100k,ary_Arab,2.945195195195195,3.75,2.957251122066073,0.7078174805839776,1.8151999718225524,Arab
cl100k,arz_Arab,2.943650793650794,3.7080882352941176,2.9521006548451183,0.7053177463303155,1.8150654829920014,Arab
cl100k,asm_Beng,6.171572750210261,7.714285714285714,6.15201236112133,1.3277752634128137,2.660536909554322,Beng
cl100k,ast_Latn,1.581989247311828,1.9583333333333333,1.5886984033551614,0.3160005268626791,1.034677808836658,Latn
cl100k,awa_Deva,4.738791423001949,5.9523809523809526,4.746339489367964,1.006255215929742,2.5784436835578295,Deva
cl100k,ayr_Latn,2.1666666666666665,2.875,2.176513869472445,0.4267926706103015,1.0235247439041986,Latn
cl100k,azb_Arab,3.3100961538461537,4.23041958041958,3.321131631226547,0.7707643181585329,1.83661760185786,Arab
cl100k,azj_Latn,2.64,3.44375,2.638915458759473,0.4988698561066021,1.1586026553165447,Latn
cl100k,bak_Cyrl,4.264245014245015,5.655172413793103,4.256015009933044,0.868240733096673,1.840426889217445,Cyrl
cl100k,bam_Latn,2.530330882352941,3.4163793103448272,2.558788904422044,0.5498217405396004,1.0883708429182377,Latn
cl100k,ban_Latn,1.7894736842105263,2.2285714285714286,1.7912221322934294,0.33427161070185435,1.002656926889885,Latn
cl100k,bel_Cyrl,3.4409302325581397,4.590151515151515,3.498234125524244,0.6424541750839476,1.8304224743089947,Cyrl
cl100k,bem_Latn,2.1923076923076925,2.8179425837320573,2.2140754911338387,0.37433757121886896,1.0024257955365363,Latn
cl100k,ben_Beng,5.804417122040073,7.2327272727272724,5.798911044073284,1.2215092760496582,2.6710838331705955,Beng
cl100k,bho_Deva,4.605661881977672,5.894152046783625,4.680965344713413,0.989132124755123,2.5543316023508194,Deva
cl100k,bjn_Arab,3.75,4.768974358974359,3.776028253991612,0.8395910020449898,1.8284498977505113,Arab
