lon,lat,at_risk_kwh
-179.5,-42.5,20902
-179.5,-26.5,18353
-179.5,-25.5,585420
-179.5,-24.5,41617
-179.5,-22.5,67268
-179.5,-21.5,52162
-179.5,-20.5,3065
-179.5,-18.5,284
-179.5,-17.5,10426
-179.5,-15.5,27032
-179.5,-14.5,2429
-179.5,-11.5,11345
-179.5,-10.5,178800
-179.5,-9.5,186639
-179.5,-8.5,643556
-179.5,-7.5,918084
-179.5,-6.5,1144147
-179.5,-5.5,1006861
-179.5,-4.5,2888133
-179.5,-3.5,4060951
-179.5,-2.5,2657734
-179.5,-1.5,827520
-179.5,-0.5,102354
-179.5,0.5,284
-179.5,1.5,4462
-179.5,2.5,257305
-179.5,3.5,707875
-179.5,4.5,482414
-179.5,5.5,347170
-179.5,6.5,389986
-179.5,7.5,465254
-179.5,8.5,238618
-179.5,9.5,310138
-179.5,10.5,1872625
-179.5,11.5,2826438
-179.5,12.5,1807180
-179.5,13.5,818717
-179.5,14.5,385986
-179.5,15.5,91247
-179.5,16.5,349422
-179.5,17.5,169431
-179.5,18.5,204134
-179.5,19.5,68765
-179.5,20.5,998
-179.5,21.5,235
-179.5,22.5,4896
-179.5,24.5,33914
-179.5,29.5,964
-179.5,30.5,3173
-179.5,31.5,79587
-179.5,32.5,385403
-179.5,33.5,53522
-179.5,34.5,57037
-179.5,35.5,20841
-179.5,36.5,127236
-179.5,37.5,142646
-179.5,38.5,452667
-179.5,39.5,125868
-179.5,40.5,498126
-179.5,41.5,52729
-179.5,60.5,852676
-179.5,61.5,2578351
-179.5,62.5,149453
-179.5,63.5,2275
-179.5,81.5,13872
-178.5,-43.5,218229
-178.5,-42.5,81086
-178.5,-25.5,188796
-178.5,-23.5,590
-178.5,-22.5,5756
-178.5,-21.5,4933
-178.5,-20.5,2648
-178.5,-18.5,2607
-178.5,-16.5,47386
-178.5,-15.5,50938
-178.5,-14.5,653
-178.5,-11.5,11127
-178.5,-10.5,115921
-178.5,-9.5,500225
-178.5,-8.5,978799
-178.5,-7.5,1190829
-178.5,-6.5,1243523
-178.5,-5.5,1719927
-178.5,-4.5,5239747
-178.5,-3.5,5057641
-178.5,-2.5,1423381
-178.5,3.5,95220
-178.5,4.5,622819
-178.5,5.5,348485
-178.5,6.5,448446
-178.5,7.5,363334
-178.5,8.5,92456
-178.5,9.5,125325
-178.5,10.5,1656121
-178.5,11.5,3438294
-178.5,12.5,2311594
-178.5,13.5,818480
-178.5,14.5,157073
-178.5,15.5,58120
-178.5,16.5,251259
-178.5,17.5,140555
-178.5,18.5,128616
-178.5,19.5,24627
-178.5,20.5,36877
-178.5,23.5,5501
-178.5,24.5,20
-178.5,30.5,1193
-178.5,31.5,4439
-178.5,32.5,131502
-178.5,33.5,25823
-178.5,34.5,91641
-178.5,35.5,5631
-178.5,36.5,220249
-178.5,37.5,101691
-178.5,38.5,45044
-178.5,39.5,50518
-178.5,40.5,80644
-178.5,41.5,60722
-178.5,42.5,7973
-178.5,60.5,1393162
-178.5,61.5,2572328
-178.5,62.5,26031
-178.5,63.5,29928
-178.5,82.5,13872
-177.5,-43.5,99220
-177.5,-42.5,19959
-177.5,-36.5,20169
-177.5,-35.5,5580
-177.5,-34.5,3384
-177.5,-25.5,47111
-177.5,-23.5,5397
-177.5,-22.5,20973
-177.5,-21.5,4660
-177.5,-20.5,104588
-177.5,-19.5,38936
-177.5,-18.5,5425
-177.5,-17.5,542
-177.5,-14.5,351
-177.5,-12.5,42
-177.5,-10.5,32946
-177.5,-9.5,299425
-177.5,-8.5,598214
-177.5,-7.5,1230497
-177.5,-6.5,930909
-177.5,-5.5,246664
-177.5,-4.5,40092
-177.5,-3.5,679947
-177.5,-2.5,38060
-177.5,-0.5,13019
-177.5,3.5,328
-177.5,4.5,497140
-177.5,5.5,434866
-177.5,6.5,467621
-177.5,7.5,677633
-177.5,8.5,145598
-177.5,9.5,70854
-177.5,10.5,1460314
-177.5,11.5,4693747
-177.5,12.5,2143169
-177.5,13.5,866982
-177.5,14.5,524615
-177.5,15.5,183659
-177.5,16.5,199286
-177.5,17.5,32806
-177.5,18.5,118591
-177.5,19.5,163232
-177.5,20.5,199544
-177.5,21.5,33509
-177.5,22.5,2007
-177.5,31.5,38797
-177.5,32.5,79885
-177.5,33.5,35457
-177.5,34.5,75040
-177.5,35.5,23096
-177.5,36.5,157158
-177.5,37.5,97706
-177.5,38.5,51314
-177.5,39.5,46470
-177.5,40.5,526109
-177.5,41.5,246676
-177.5,61.5,159331
-177.5,64.5,637
-177.5,65.5,46435
-176.5,-43.5,2546
-176.5,-37.5,246808
-176.5,-36.5,425540
-176.5,-35.5,51671
-176.5,-34.5,161682
-176.5,-25.5,22113
-176.5,-23.5,6487
-176.5,-22.5,30073
-176.5,-21.5,139139
-176.5,-20.5,104091
-176.5,-19.5,242570
-176.5,-18.5,89011
-176.5,-17.5,36101
-176.5,-16.5,9311
-176.5,-15.5,2245
-176.5,-10.5,3305
-176.5,-9.5,1132579
-176.5,-8.5,1936261
-176.5,-7.5,993474
-176.5,-3.5,9136
-176.5,4.5,339464
-176.5,5.5,415802
-176.5,6.5,735385
-176.5,7.5,1491856
-176.5,8.5,497195
-176.5,9.5,125745
-176.5,10.5,2795289
-176.5,11.5,5399149
-176.5,12.5,1618410
-176.5,13.5,732545
-176.5,14.5,312126
-176.5,15.5,396849
-176.5,16.5,256546
-176.5,17.5,209488
-176.5,18.5,189044
-176.5,19.5,264099
-176.5,20.5,35155
-176.5,21.5,31395
-176.5,22.5,54319
-176.5,26.5,161
-176.5,29.5,207
-176.5,31.5,57091
-176.5,32.5,155749
-176.5,33.5,32252
-176.5,34.5,72834
-176.5,35.5,79654
-176.5,36.5,497634
-176.5,37.5,521790
-176.5,38.5,25308
-176.5,39.5,39355
-176.5,40.5,1134607
-176.5,41.5,456009
-176.5,64.5,14038
-176.5,65.5,48043
-176.5,66.5,40204
-175.5,-44.5,14559
-175.5,-43.5,733
-175.5,-38.5,20999
-175.5,-37.5,814113
-175.5,-36.5,552167
-175.5,-35.5,63794
-175.5,-34.5,328780
-175.5,-33.5,91573
-175.5,-32.5,3364
-175.5,-30.5,262
-175.5,-26.5,266025
-175.5,-25.5,24219
-175.5,-21.5,4055
-175.5,-20.5,39830
-175.5,-19.5,411766
-175.5,-18.5,892213
-175.5,-17.5,717312
-175.5,-16.5,279796
-175.5,-15.5,32541
-175.5,-14.5,6470
-175.5,-10.5,8685
-175.5,-9.5,92594
-175.5,-8.5,16670
-175.5,-7.5,2344
-175.5,3.5,3950
-175.5,4.5,598615
-175.5,5.5,770432
-175.5,6.5,558280
-175.5,7.5,855669
-175.5,8.5,394172
-175.5,9.5,62286
-175.5,10.5,1119706
-175.5,11.5,4733772
-175.5,12.5,2466864
-175.5,13.5,537889
-175.5,14.5,270273
-175.5,15.5,130232
-175.5,16.5,137770
-175.5,17.5,288287
-175.5,18.5,227713
-175.5,19.5,211188
-175.5,20.5,74161
-175.5,21.5,166139
-175.5,22.5,37495
-175.5,29.5,2311
-175.5,31.5,253612
-175.5,32.5,630443
-175.5,33.5,18312
-175.5,34.5,58973
-175.5,35.5,179440
-175.5,36.5,409645
-175.5,37.5,169668
-175.5,38.5,59895
-175.5,39.5,59032
-175.5,40.5,2636651
-175.5,41.5,3710634
-174.5,-43.5,117205
-174.5,-42.5,1330
-174.5,-39.5,8578
-174.5,-38.5,132321
-174.5,-37.5,742245
-174.5,-36.5,375161
-174.5,-35.5,213416
-174.5,-34.5,620950
-174.5,-33.5,249987
-174.5,-32.5,370251
-174.5,-31.5,123899
-174.5,-30.5,54858
-174.5,-28.5,5105
-174.5,-27.5,251700
-174.5,-26.5,891535
-174.5,-25.5,247939
-174.5,-21.5,2890
-174.5,-20.5,9166
-174.5,-18.5,3272
-174.5,-17.5,134494
-174.5,-16.5,394483
-174.5,-15.5,369201
-174.5,-14.5,615609
-174.5,-13.5,466100
-174.5,-12.5,330240
-174.5,-11.5,258955
-174.5,-10.5,32433
-174.5,3.5,299944
-174.5,4.5,823597
-174.5,5.5,639010
-174.5,6.5,434077
-174.5,7.5,457536
-174.5,8.5,52185
-174.5,9.5,23176
-174.5,10.5,722315
-174.5,11.5,3365506
-174.5,12.5,2233993
-174.5,13.5,511749
-174.5,14.5,168356
-174.5,15.5,206165
-174.5,16.5,40829
-174.5,17.5,133893
-174.5,18.5,129751
-174.5,19.5,60014
-174.5,20.5,45899
-174.5,21.5,99164
-174.5,22.5,15374
-174.5,29.5,5388
-174.5,31.5,326143
-174.5,32.5,468400
-174.5,33.5,39612
-174.5,34.5,102692
-174.5,35.5,404091
-174.5,36.5,240230
-174.5,37.5,14992
-174.5,38.5,73142
-174.5,39.5,947381
-174.5,40.5,2273437
-174.5,41.5,144757
-174.5,42.5,83308
-173.5,-43.5,39549
-173.5,-38.5,217034
-173.5,-37.5,700246
-173.5,-36.5,394403
-173.5,-35.5,555362
-173.5,-34.5,337657
-173.5,-33.5,337153
-173.5,-32.5,453497
-173.5,-31.5,629784
-173.5,-30.5,1334857
-173.5,-29.5,1254267
-173.5,-28.5,684036
-173.5,-27.5,534030
-173.5,-26.5,793075
-173.5,-25.5,362801
-173.5,-24.5,80980
-173.5,-23.5,10505
-173.5,-22.5,14646
-173.5,-21.5,114551
-173.5,-20.5,8789
-173.5,-19.5,39744
-173.5,-18.5,66155
-173.5,-17.5,78437
-173.5,-16.5,40767
-173.5,-14.5,651406
-173.5,-13.5,655176
-173.5,-12.5,949833
-173.5,-11.5,509747
-173.5,-10.5,231669
-173.5,-9.5,38974
-173.5,0.5,1388
-173.5,1.5,106630
-173.5,2.5,746936
-173.5,3.5,1209552
-173.5,4.5,673030
-173.5,5.5,301277
-173.5,6.5,609813
-173.5,7.5,629003
-173.5,8.5,17519
-173.5,9.5,74120
-173.5,10.5,721458
-173.5,11.5,2943482
-173.5,12.5,2431027
-173.5,13.5,915070
-173.5,14.5,445785
-173.5,15.5,116379
-173.5,19.5,40901
-173.5,21.5,20200
-173.5,22.5,18157
-173.5,29.5,1800
-173.5,30.5,90043
-173.5,31.5,497293
-173.5,32.5,232354
-173.5,33.5,97977
-173.5,34.5,105819
-173.5,35.5,184557
-173.5,36.5,131326
-173.5,37.5,77305
-173.5,38.5,205465
-173.5,39.5,2139798
-173.5,40.5,476998
-173.5,41.5,136571
-173.5,42.5,5014
-172.5,-38.5,19313
-172.5,-37.5,256153
-172.5,-36.5,274720
-172.5,-35.5,540112
-172.5,-34.5,144773
-172.5,-33.5,168002
-172.5,-32.5,275423
-172.5,-31.5,745034
-172.5,-30.5,1040018
-172.5,-29.5,530781
-172.5,-28.5,349519
-172.5,-27.5,484785
-172.5,-26.5,339465
-172.5,-25.5,293629
-172.5,-24.5,203081
-172.5,-23.5,18697
-172.5,-22.5,74453
-172.5,-21.5,19412
-172.5,-20.5,1844
-172.5,-19.5,30922
-172.5,-18.5,49584
-172.5,-17.5,119720
-172.5,-16.5,77055
-172.5,-15.5,430229
-172.5,-14.5,378821
-172.5,-13.5,20981
-172.5,-12.5,331122
-172.5,-11.5,77578
-172.5,-10.5,778847
-172.5,-9.5,301982
-172.5,-8.5,1533
-172.5,-7.5,579
-172.5,-1.5,740
-172.5,0.5,22155
-172.5,1.5,554687
-172.5,2.5,1766224
-172.5,3.5,1575753
-172.5,4.5,652578
-172.5,5.5,571069
-172.5,6.5,576174
-172.5,7.5,175872
-172.5,8.5,37136
-172.5,9.5,71986
-172.5,10.5,521078
-172.5,11.5,3516402
-172.5,12.5,2796907
-172.5,13.5,1521926
-172.5,14.5,412351
-172.5,15.5,18086
-172.5,19.5,36337
-172.5,20.5,28952
-172.5,21.5,22760
-172.5,29.5,59976
-172.5,30.5,327737
-172.5,31.5,345389
-172.5,32.5,258550
-172.5,33.5,186800
-172.5,34.5,160482
-172.5,35.5,247092
-172.5,36.5,224789
-172.5,37.5,50499
-172.5,38.5,103741
-172.5,39.5,322427
-172.5,40.5,406228
-172.5,41.5,137358
-171.5,-37.5,31807
-171.5,-36.5,54515
-171.5,-35.5,170781
-171.5,-34.5,137130
-171.5,-33.5,179130
-171.5,-32.5,244018
-171.5,-31.5,191248
-171.5,-30.5,469339
-171.5,-29.5,595247
-171.5,-28.5,483288
-171.5,-27.5,351175
-171.5,-26.5,161203
-171.5,-25.5,114548
-171.5,-24.5,303412
-171.5,-23.5,256910
-171.5,-22.5,523427
-171.5,-21.5,136102
-171.5,-20.5,102195
-171.5,-19.5,127688
-171.5,-18.5,150760
-171.5,-17.5,269115
-171.5,-16.5,13561
-171.5,-15.5,402548
-171.5,-14.5,393711
-171.5,-13.5,236056
-171.5,-12.5,289664
-171.5,-11.5,1373
-171.5,-10.5,144612
-171.5,-9.5,82961
-171.5,-8.5,23776
-171.5,-7.5,2223
-171.5,0.5,56155
-171.5,1.5,452977
-171.5,2.5,1706667
-171.5,3.5,1974514
-171.5,4.5,896437
-171.5,5.5,508038
-171.5,6.5,201548
-171.5,7.5,30908
-171.5,8.5,9399
-171.5,9.5,39143
-171.5,10.5,718657
-171.5,11.5,4065137
-171.5,12.5,1547852
-171.5,13.5,493288
-171.5,14.5,27
-171.5,20.5,10104
-171.5,21.5,133513
-171.5,29.5,60690
-171.5,30.5,363245
-171.5,31.5,605474
-171.5,32.5,165890
-171.5,33.5,136157
-171.5,34.5,103703
-171.5,35.5,329082
-171.5,36.5,69040
-170.5,-38.5,5855
-170.5,-37.5,15391
-170.5,-36.5,51657
-170.5,-35.5,45742
-170.5,-34.5,108252
-170.5,-33.5,88657
-170.5,-32.5,119284
-170.5,-31.5,282535
-170.5,-30.5,743404
-170.5,-29.5,462020
-170.5,-28.5,307749
-170.5,-27.5,254126
-170.5,-26.5,241847
-170.5,-25.5,196556
-170.5,-24.5,270661
-170.5,-23.5,310653
-170.5,-22.5,197845
-170.5,-21.5,61792
-170.5,-20.5,84459
-170.5,-19.5,26273
-170.5,-18.5,123319
-170.5,-17.5,769780
-170.5,-16.5,440592
-170.5,-15.5,1635
-170.5,-14.5,53545
-170.5,-13.5,89225
-170.5,-12.5,134128
-170.5,-11.5,220
-170.5,-10.5,194607
-170.5,-9.5,262415
-170.5,-8.5,27464
-170.5,-7.5,6024
-170.5,0.5,246988
-170.5,1.5,384808
-170.5,2.5,2117990
-170.5,3.5,2122414
-170.5,4.5,1836422
-170.5,5.5,536739
-170.5,6.5,158961
-170.5,7.5,47799
-170.5,8.5,19937
-170.5,9.5,84221
-170.5,10.5,534681
-170.5,11.5,3598178
-170.5,12.5,1872983
-170.5,13.5,331187
-170.5,20.5,6416
-170.5,21.5,150632
-170.5,29.5,57418
-170.5,30.5,420302
-170.5,31.5,685413
-170.5,32.5,187379
-170.5,33.5,118062
-170.5,34.5,251877
-170.5,35.5,241449
-170.5,36.5,12055
-169.5,-39.5,8390
-169.5,-37.5,3404
-169.5,-36.5,37407
-169.5,-35.5,36815
-169.5,-34.5,71866
-169.5,-33.5,66730
-169.5,-32.5,34389
-169.5,-31.5,211622
-169.5,-30.5,362035
-169.5,-29.5,408215
-169.5,-28.5,388685
-169.5,-27.5,164262
-169.5,-26.5,161026
-169.5,-25.5,94288
-169.5,-24.5,78171
-169.5,-23.5,234309
-169.5,-22.5,97902
-169.5,-21.5,55753
-169.5,-20.5,28064
-169.5,-18.5,6822
-169.5,-17.5,368253
-169.5,-16.5,205377
-169.5,-14.5,23332
-169.5,-13.5,176
-169.5,-10.5,90262
-169.5,-9.5,477003
-169.5,-8.5,5249
-169.5,-7.5,76
-169.5,-0.5,31803
-169.5,0.5,469979
-169.5,1.5,471012
-169.5,2.5,1772694
-169.5,3.5,2196555
-169.5,4.5,2250304
-169.5,5.5,791568
-169.5,6.5,246585
-169.5,7.5,57210
-169.5,8.5,31187
-169.5,9.5,57924
-169.5,10.5,379897
-169.5,11.5,3357365
-169.5,12.5,1098148
-169.5,13.5,171541
-169.5,20.5,6570
-169.5,21.5,3269
-169.5,29.5,53075
-169.5,30.5,357433
-169.5,31.5,525442
-169.5,32.5,70489
-169.5,33.5,60466
-169.5,34.5,245811
-169.5,35.5,188108
-169.5,36.5,73501
-169.5,37.5,1610
-168.5,-37.5,749
-168.5,-36.5,22310
-168.5,-35.5,27510
-168.5,-34.5,4076
-168.5,-33.5,103585
-168.5,-32.5,42175
-168.5,-31.5,127602
-168.5,-30.5,254408
-168.5,-29.5,591762
-168.5,-28.5,368269
-168.5,-27.5,146251
-168.5,-26.5,30156
-168.5,-25.5,144653
-168.5,-24.5,236254
-168.5,-23.5,322658
-168.5,-22.5,360464
-168.5,-21.5,5938
-168.5,-20.5,22313
-168.5,-18.5,106836
-168.5,-17.5,239266
-168.5,-16.5,14340
-168.5,-11.5,14250
-168.5,-10.5,23623
-168.5,-9.5,109727
-168.5,-8.5,13752
-168.5,-7.5,1194940
-168.5,-6.5,1715737
-168.5,-5.5,16118
-168.5,-1.5,336662
-168.5,-0.5,999589
-168.5,0.5,913293
-168.5,1.5,959267
-168.5,2.5,1780730
-168.5,3.5,1791207
-168.5,4.5,1662944
-168.5,5.5,738619
-168.5,6.5,229573
-168.5,7.5,52333
-168.5,8.5,5646
-168.5,9.5,41717
-168.5,10.5,79170
-168.5,11.5,1821613
-168.5,12.5,1328823
-168.5,13.5,378605
-168.5,20.5,7960
-168.5,28.5,8854
-168.5,29.5,242752
-168.5,30.5,406181
-168.5,31.5,549373
-168.5,32.5,45952
-168.5,33.5,64823
-168.5,34.5,133574
-168.5,35.5,258308
-168.5,36.5,40811
-168.5,37.5,12769
-168.5,61.5,47795
-167.5,-37.5,310
-167.5,-36.5,19497
-167.5,-35.5,9992
-167.5,-34.5,82422
-167.5,-33.5,74327
-167.5,-32.5,23964
-167.5,-31.5,185965
-167.5,-30.5,565178
-167.5,-29.5,514051
-167.5,-28.5,355040
-167.5,-27.5,146099
-167.5,-26.5,88266
-167.5,-25.5,74172
-167.5,-24.5,67626
-167.5,-23.5,158253
-167.5,-22.5,396171
-167.5,-21.5,175163
-167.5,-19.5,21586
-167.5,-18.5,73234
-167.5,-17.5,218562
-167.5,-14.5,61
-167.5,-12.5,3243
-167.5,-11.5,227772
-167.5,-10.5,74836
-167.5,-9.5,46770
-167.5,-8.5,22514
-167.5,-7.5,4339317
-167.5,-6.5,4646646
-167.5,-5.5,2407941
-167.5,-4.5,1340887
-167.5,-3.5,1906544
-167.5,-2.5,4004501
-167.5,-1.5,5581462
-167.5,-0.5,1779794
-167.5,0.5,983911
-167.5,1.5,1532296
-167.5,2.5,1926384
-167.5,3.5,1505567
-167.5,4.5,1463331
-167.5,5.5,590952
-167.5,6.5,131237
-167.5,7.5,195565
-167.5,8.5,9706
-167.5,9.5,282
-167.5,10.5,81119
-167.5,11.5,727292
-167.5,12.5,1163776
-167.5,13.5,1422261
-167.5,14.5,8875
-167.5,19.5,2341
-167.5,20.5,374
-167.5,28.5,18738
-167.5,29.5,258982
-167.5,30.5,409052
-167.5,31.5,316953
-167.5,32.5,135800
-167.5,33.5,193810
-167.5,34.5,71356
-167.5,35.5,224311
-167.5,36.5,8323
-166.5,-37.5,747
-166.5,-36.5,32854
-166.5,-35.5,72998
-166.5,-34.5,87781
-166.5,-33.5,110090
-166.5,-32.5,170747
-166.5,-31.5,98034
-166.5,-30.5,482967
-166.5,-29.5,433068
-166.5,-28.5,244490
-166.5,-27.5,292003
-166.5,-26.5,86175
-166.5,-25.5,128514
-166.5,-24.5,59699
-166.5,-23.5,100865
-166.5,-22.5,133098
-166.5,-21.5,272063
-166.5,-20.5,12896
-166.5,-18.5,16597
-166.5,-17.5,54104
-166.5,-13.5,72181
-166.5,-12.5,273520
-166.5,-11.5,2318
-166.5,-10.5,26871
-166.5,-9.5,65803
-166.5,-8.5,232714
-166.5,-7.5,2965557
-166.5,-6.5,3751123
-166.5,-5.5,2817119
-166.5,-4.5,3701474
-166.5,-3.5,8171088
-166.5,-2.5,8462630
-166.5,-1.5,4642786
-166.5,-0.5,1612911
-166.5,0.5,765790
-166.5,1.5,1240169
-166.5,2.5,1740309
-166.5,3.5,1265153
-166.5,4.5,802645
-166.5,5.5,148653
-166.5,6.5,55787
-166.5,7.5,11726
-166.5,8.5,10526
-166.5,9.5,7966
-166.5,10.5,54273
-166.5,11.5,329951
-166.5,12.5,1028843
-166.5,13.5,1767578
-166.5,14.5,99388
-166.5,18.5,14552
-166.5,19.5,58506
-166.5,20.5,2444
-166.5,28.5,64686
-166.5,29.5,174762
-166.5,30.5,397474
-166.5,31.5,217115
-166.5,32.5,110945
-166.5,33.5,62617
-166.5,34.5,30574
-166.5,35.5,25287
-166.5,36.5,14943
-165.5,-37.5,11637
-165.5,-36.5,26645
-165.5,-35.5,41817
-165.5,-34.5,174360
-165.5,-33.5,169650
-165.5,-32.5,119697
-165.5,-31.5,182761
-165.5,-30.5,391083
-165.5,-29.5,315530
-165.5,-28.5,179666
-165.5,-27.5,157879
-165.5,-26.5,56096
-165.5,-25.5,77755
-165.5,-24.5,114777
-165.5,-23.5,93506
-165.5,-22.5,144078
-165.5,-21.5,194330
-165.5,-20.5,661
-165.5,-19.5,1159
-165.5,-18.5,13015
-165.5,-17.5,12813
-165.5,-14.5,4823
-165.5,-13.5,251999
-165.5,-12.5,168477
-165.5,-10.5,10198
-165.5,-9.5,59585
-165.5,-8.5,14019
-165.5,-7.5,2233377
-165.5,-6.5,3172747
-165.5,-5.5,2199415
-165.5,-4.5,3358464
-165.5,-3.5,4293016
-165.5,-2.5,5900686
-165.5,-1.5,3958403
-165.5,-0.5,1314653
-165.5,0.5,725557
-165.5,1.5,1848636
-165.5,2.5,1664249
-165.5,3.5,867606
-165.5,4.5,52252
-165.5,5.5,1846
-165.5,10.5,44381
-165.5,11.5,320256
-165.5,12.5,1004103
-165.5,13.5,1529437
-165.5,14.5,111660
-165.5,15.5,190264
-165.5,16.5,6322
-165.5,17.5,48417
-165.5,18.5,95994
-165.5,19.5,122435
-165.5,21.5,420
-165.5,27.5,12455
-165.5,28.5,159724
-165.5,29.5,355957
-165.5,30.5,582222
-165.5,31.5,293280
-165.5,32.5,252964
-165.5,33.5,79604
-165.5,34.5,39006
-165.5,35.5,2959
-165.5,36.5,10190
-164.5,-36.5,5360
-164.5,-35.5,8993
-164.5,-34.5,202319
-164.5,-33.5,141865
-164.5,-32.5,17123
-164.5,-31.5,145514
-164.5,-30.5,275885
-164.5,-29.5,270831
-164.5,-28.5,127768
-164.5,-27.5,70956
-164.5,-26.5,241263
-164.5,-25.5,152463
-164.5,-24.5,112923
-164.5,-23.5,169978
-164.5,-22.5,45879
-164.5,-21.5,84703
-164.5,-19.5,329
-164.5,-18.5,28908
-164.5,-16.5,6763
-164.5,-15.5,12353
-164.5,-14.5,62836
-164.5,-13.5,162750
-164.5,-12.5,46916
-164.5,-11.5,49965
-164.5,-10.5,22397
-164.5,-9.5,185661
-164.5,-8.5,142013
-164.5,-7.5,1604933
-164.5,-6.5,2397481
-164.5,-5.5,1569410
-164.5,-4.5,2727624
-164.5,-3.5,3520997
-164.5,-2.5,4530988
-164.5,-1.5,3135951
-164.5,-0.5,1179702
-164.5,0.5,721809
-164.5,1.5,877285
-164.5,2.5,1078336
-164.5,3.5,79570
-164.5,5.5,8256
-164.5,10.5,22986
-164.5,11.5,64080
-164.5,12.5,853120
-164.5,13.5,1296982
-164.5,14.5,421943
-164.5,15.5,504190
-164.5,16.5,170228
-164.5,17.5,126802
-164.5,18.5,142073
-164.5,19.5,187482
-164.5,26.5,3391
-164.5,27.5,95286
-164.5,28.5,75201
-164.5,29.5,111367
-164.5,30.5,379541
-164.5,31.5,138162
-164.5,32.5,79417
-164.5,33.5,102630
-164.5,34.5,109021
-164.5,35.5,71135
-164.5,36.5,48837
-164.5,37.5,13871
-163.5,-38.5,534
-163.5,-37.5,9940
-163.5,-34.5,171582
-163.5,-33.5,113077
-163.5,-32.5,105081
-163.5,-31.5,249751
-163.5,-30.5,204513
-163.5,-29.5,291718
-163.5,-28.5,101563
-163.5,-27.5,187141
-163.5,-26.5,143622
-163.5,-25.5,174931
-163.5,-24.5,91024
-163.5,-23.5,75913
-163.5,-22.5,14019
-163.5,-21.5,8492
-163.5,-16.5,11275
-163.5,-15.5,20257
-163.5,-14.5,32703
-163.5,-13.5,106165
-163.5,-12.5,695
-163.5,-11.5,235447
-163.5,-10.5,121824
-163.5,-9.5,257506
-163.5,-8.5,68252
-163.5,-7.5,794687
-163.5,-6.5,1278902
-163.5,-5.5,1796929
-163.5,-4.5,2786111
-163.5,-3.5,3210407
-163.5,-2.5,3452757
-163.5,-1.5,1075368
-163.5,-0.5,260970
-163.5,0.5,254400
-163.5,1.5,334852
-163.5,2.5,187147
-163.5,6.5,1189
-163.5,10.5,23504
-163.5,11.5,50534
-163.5,12.5,442108
-163.5,13.5,1101660
-163.5,14.5,696202
-163.5,15.5,372179
-163.5,16.5,74565
-163.5,17.5,210756
-163.5,18.5,185767
-163.5,19.5,77651
-163.5,20.5,390
-163.5,21.5,202
-163.5,25.5,5553
-163.5,26.5,11747
-163.5,27.5,33670
-163.5,28.5,145603
-163.5,29.5,139419
-163.5,30.5,287945
-163.5,31.5,107991
-163.5,32.5,94408
-163.5,33.5,221685
-163.5,34.5,90504
-163.5,35.5,32247
-163.5,36.5,29600
-163.5,37.5,26389
-162.5,-38.5,235
-162.5,-37.5,5897
-162.5,-36.5,41358
-162.5,-35.5,161935
-162.5,-34.5,43222
-162.5,-33.5,74360
-162.5,-32.5,313644
-162.5,-31.5,77059
-162.5,-30.5,110429
-162.5,-29.5,262440
-162.5,-28.5,68439
-162.5,-27.5,146329
-162.5,-26.5,122927
-162.5,-25.5,29129
-162.5,-24.5,9434
-162.5,-16.5,8966
-162.5,-15.5,24214
-162.5,-14.5,10944
-162.5,-13.5,2253
-162.5,-12.5,9032
-162.5,-11.5,127502
-162.5,-10.5,20686
-162.5,-9.5,219254
-162.5,-8.5,73182
-162.5,-7.5,8595
-162.5,-6.5,964023
-162.5,-5.5,1283030
-162.5,-4.5,2349320
-162.5,-3.5,3102596
-162.5,-2.5,749250
-162.5,1.5,266
-162.5,2.5,4751
-162.5,10.5,13618
-162.5,11.5,43056
-162.5,12.5,155894
-162.5,13.5,412022
-162.5,14.5,378687
-162.5,15.5,313356
-162.5,16.5,293337
-162.5,17.5,248102
-162.5,18.5,95657
-162.5,19.5,48875
-162.5,20.5,88153
-162.5,21.5,6525
-162.5,24.5,31824
-162.5,25.5,65769
-162.5,26.5,59290
-162.5,27.5,170335
-162.5,28.5,234788
-162.5,29.5,188433
-162.5,30.5,217907
-162.5,31.5,169898
-162.5,32.5,202414
-162.5,33.5,218025
-162.5,34.5,64381
-162.5,35.5,49649
-162.5,36.5,119608
-162.5,37.5,44830
-161.5,-36.5,45326
-161.5,-35.5,236416
-161.5,-34.5,50096
-161.5,-33.5,51539
-161.5,-32.5,216870
-161.5,-31.5,99771
-161.5,-30.5,99248
-161.5,-29.5,97919
-161.5,-28.5,39543
-161.5,-27.5,75605
-161.5,-26.5,106135
-161.5,-25.5,175891
-161.5,-24.5,49808
-161.5,-16.5,5080
-161.5,-15.5,9936
-161.5,-14.5,4995
-161.5,-13.5,49480
-161.5,-12.5,24057
-161.5,-11.5,33067
-161.5,-10.5,15957
-161.5,-9.5,176842
-161.5,-8.5,26238
-161.5,-6.5,528938
-161.5,-5.5,1117883
-161.5,-4.5,3221397
-161.5,-3.5,1279188
-161.5,10.5,11417
-161.5,11.5,105165
-161.5,12.5,312310
-161.5,13.5,233016
-161.5,14.5,354565
-161.5,15.5,192952
-161.5,16.5,315355
-161.5,17.5,536061
-161.5,18.5,71723
-161.5,19.5,56648
-161.5,20.5,36531
-161.5,24.5,16907
-161.5,25.5,180353
-161.5,26.5,200343
-161.5,27.5,93152
-161.5,28.5,131059
