date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4
2024-12-30,0.2594164615177171,6.4582408454326385,19.488222513186606,8.5,8.9,0.40000000000000036,,,22,32,6,4,,0.125,0.2727272727272727,-1.0490037111157597,0.0,1.8653569657615543,0.04598511324182344,,,,
2025-01-06,0.243183705773131,6.472143275745848,21.347989548769736,8.5,8.9,0.40000000000000036,,,27,34,6,4,,0.11764705882352941,0.2222222222222222,-1.1353033993731694,0.019230769230769232,1.8675073172963588,0.04598511324182344,,0.04598511324182344,,
2025-01-13,0.2297785134362013,8.943533042204175,20.267304890704228,8.5,8.9,0.40000000000000036,,,26,33,6,4,,0.12121212121212122,0.23076923076923078,-1.2095622584787191,0.038461538461538464,2.190930705993919,0.04598511324182344,,0.04598511324182344,0.04598511324182344,
2025-01-20,0.2388349822494127,5.157162974571053,14.266587366247697,11.4,8.9,-2.5,,,24,35,6,6,,0.17142857142857143,0.25,-1.1590773150323614,0.057692307692307696,1.6403866171622672,-0.24756207866235563,,0.04598511324182344,0.04598511324182344,
2025-01-27,0.2351748773233381,5.847895254037111,16.29456904078824,11.4,8.9,-2.5,,,30,33,6,6,,0.18181818181818182,0.2,-1.1793178136678033,0.07692307692307693,1.7660818108707033,-0.24756207866235563,,-0.24756207866235563,0.04598511324182344,0.04598511324182344
2025-02-03,0.230933020568319,4.63467327224444,17.220025316874512,11.4,8.9,-2.5,,,26,31,7,6,,0.1935483870967742,0.2692307692307692,-1.2030503508764838,0.09615384615384616,1.5335657051080334,-0.24756207866235563,,-0.24756207866235563,-0.24756207866235563,0.04598511324182344
2025-02-10,0.2134828114067886,5.022426634253571,14.546861851926066,11.4,8.9,-2.5,,,29,29,7,6,,0.20689655172413793,0.2413793103448276,-1.3040582560019722,0.11538461538461539,1.613913210184349,-0.24756207866235563,,-0.24756207866235563,-0.24756207866235563,0.04598511324182344
2025-02-17,0.160088274451329,4.798984384295674,7.780545552738184,11.4,8.9,-2.5,,,24,29,7,6,,0.20689655172413793,0.2916666666666667,-1.6575714192669362,0.1346153846153846,1.5684043089211737,-0.24756207866235563,,-0.24756207866235563,-0.24756207866235563,-0.24756207866235563
2025-02-24,0.1475339551260851,5.98208335369716,8.974459666891248,11.4,17.7,6.299999999999999,,,26,25,9,6,,0.24,0.34615384615384615,-1.754075024772922,0.15384615384615385,1.788768894195793,0.43995128417933366,,-0.24756207866235563,-0.24756207866235563,-0.24756207866235563
2025-03-03,0.1602154210970476,4.516003774100105,9.28858505069432,11.4,17.7,6.299999999999999,,,23,26,8,6,,0.23076923076923078,0.34782608695652173,-1.6566261137294773,0.17307692307692307,1.5076274820045388,0.43995128417933366,,0.43995128417933366,-0.24756207866235563,-0.24756207866235563
2025-03-10,0.1601126101073438,3.500193452058206,9.68360570632307,11.4,17.7,6.299999999999999,,,24,26,8,7,,0.2692307692307692,0.3333333333333333,-1.6573904423545749,0.19230769230769232,1.2528182389845566,0.43995128417933366,,0.43995128417933366,0.43995128417933366,-0.24756207866235563
2025-03-17,0.2008322952023663,4.12955503829599,12.222316045908316,11.4,17.7,6.299999999999999,,,20,27,8,7,,0.25925925925925924,0.4,-1.381100609538999,0.21153846153846154,1.4181696622573055,0.43995128417933366,,0.43995128417933366,0.43995128417933366,-0.24756207866235563
2025-03-24,0.2495139579504292,5.66174522663773,13.760197994939176,11.4,17.7,6.299999999999999,,,23,27,8,8,,0.2962962962962963,0.34782608695652173,-1.1012061953829184,0.23076923076923078,1.7337321886157997,0.43995128417933366,,0.43995128417933366,0.43995128417933366,0.43995128417933366
