date,tokens_closed,tokens_open,spend_closed,spend_open,tokens_total,share_open
2024-12-30,200348472431,70179377596,816946.1835316544,14684.0108028525,270527850027,0.25941646151771713
2025-01-06,360367330623,115794894440,1465508.4871867432,22058.468413116872,476162225063,0.24318370577313106
2025-01-13,379449315054,113200295056,1538073.3675546555,22639.91734626087,492649610110,0.22977851343620137
2025-01-20,379082167881,118946720784,1549499.4261096376,34079.28209189062,498028888665,0.2388349822494127
2025-01-27,408698463096,125670049363,1921965.9795507013,36268.66736506187,534368512459,0.2351748773233381
2025-02-03,520143761288,156187137319,2203590.3031279775,38425.447869774995,676330898607,0.230933020568319
2025-02-10,576249987080,156410399034,2145540.7281749384,40033.36939640187,732660386114,0.21348281140678863
2025-02-17,685438327117,130645442483,1903390.8297194643,46627.67944611312,816083769600,0.16008827445132906
2025-02-24,804296730897,139197424364,2472160.423292398,47674.18038085312,943494155261,0.14753395512608516
2025-03-03,911655091754,173926990433,2754205.145469556,56569.60463745937,1085582082187,0.16021542109704764
2025-03-10,1011811417070,192887485719,3281956.0977088986,64610.06026137249,1204698902789,0.1601126101073438
2025-03-17,991755659070,249229997778,3358293.6436468125,69049.53912755873,1240985656848,0.2008322952023663
2025-03-24,923822345207,307143047146,3125048.8792707506,75506.50311076874,1230965392353,0.2495139579504292
2025-03-31,1143161248635,329651963666,3050807.764938078,81805.81938742123,1472813212301,0.22382469203340413
2025-04-07,1162526423294,286438670663,3383415.120601211,72613.19803783124,1448965093957,0.19768500418513218
2025-04-14,1100209456890,234629460597,3678473.8733877367,64610.597866416254,1334838917487,0.1757736139718784
2025-04-21,1094749366463,253203301544,3323497.7638645223,63125.80284059326,1347952668007,0.18784287279045994
2025-04-28,1119797966711,274291119578,3073542.361010296,65591.261245923,1394089086289,0.1967529351428682
2025-05-05,1408484376391,308838035613,3173288.6434456813,79324.476602526,1717322412004,0.1798369563305278
2025-05-12,1628237991542,245668141727,3500016.705015569,68658.68443635499,1873906133269,0.13109949178640862
2025-05-19,1836060397396,250743996713,4438361.9628413385,69745.63467540499,2086804394109,0.12015692386926366
2025-05-26,1908162050732,281869920826,4951469.434860034,82160.38499729124,2190031971558,0.12870584744270938
2025-06-02,1735179252485,293795722126,4605058.7052897,90748.74273379674,2028974974611,0.14480007186009144
2025-06-09,1283512946121,237623927081,3841857.269307391,73124.70434040173,1521136873202,0.15621469130572094
2025-06-16,1620480185178,283004190473,4753720.151783613,93822.47205925648,1903484375651,0.14867691802104302
2025-06-23,1693116535454,319518838286,4452707.764793296,92571.2834099905,2012635373740,0.15875644563090974
2025-06-30,1428304385695,341057296942,4156256.4996762373,98481.353416749,1769361682637,0.1927572526797908
2025-07-07,1598535423296,345911362075,4455756.5084794,107254.2314496975,1944446785371,0.17789705775311315
2025-07-14,1406002296097,373363422048,4710609.037196613,118156.75408646437,1779365718145,0.20982950173797532
2025-07-21,1881596624645,500164271938,6684585.903287272,147160.64948994035,2381760896583,0.20999768392182527
2025-07-28,1920878868919,631260151093,7026137.310559387,177731.8833426198,2552139020012,0.24734551924606044
2025-08-04,1766504663616,838809707056,6772037.157467644,201755.8191953196,2605314370672,0.32196103337795745
2025-08-11,1789021396362,747444815138,6558099.148094985,217952.7059161253,2536466211500,0.29467958680040157
2025-08-18,1799698255340,812659896312,6555872.017235456,232224.94199992227,2612358151652,0.3110828795806927
2025-08-25,2328998943080,858907870682,6872796.170421797,212088.81753782264,3187906813762,0.26942690638702077
2025-09-01,3134882562992,791858015676,6938673.293273763,189976.2394736418,3926740578668,0.2016578380496448
2025-09-08,3118417534733,833662431048,6841180.109087349,224808.2392841173,3952079965781,0.21094270315030272
2025-09-15,3159108983586,696484303772,7004211.666754284,208958.3472502481,3855593287358,0.18064257608697562
2025-09-22,3045030591304,752149687676,6757764.54977215,215191.93246792952,3797180278980,0.19808111082838625
2025-09-29,3213703527214,896293074333,6578915.586051713,260604.14774687053,4109996601547,0.2180763541253625
2025-10-06,3451773697464,1068592494588,7175962.770959232,294021.574936085,4520366192052,0.23639511694138152
2025-10-13,3339327885443,829278086211,6758359.791485369,270527.2380491075,4168605971654,0.19893415013315902
2025-10-20,3492699638897,893204409627,6841758.1001461,298279.8872523875,4385904048524,0.20365343148069837
2025-10-27,3858986681781,945449478894,7667843.503544619,298195.56501738,4804436160675,0.19678677107474957
2025-11-03,3863261495342,1052557275025,7700281.913507538,349360.14560636744,4915818770367,0.21411637088208182
2025-11-10,3941130120270,1102677554938,7354604.241759812,381079.46945523494,5043807675208,0.2186200636392281
2025-11-17,4170231205722,1110383540697,7165410.311220176,399969.5951557862,5280614746419,0.2102754308009302
2025-11-24,3785635484335,1068417457497,7578252.340563069,397767.33407087397,4854052941832,0.2201083239717945
2025-12-01,3636166733025,1156907290942,8563096.096047182,345826.4081852655,4793074023967,0.2413706287774965
2025-12-08,3520364815700,1304686239528,8600444.917011475,347906.0395968912,4825051055228,0.2703984319739699
2025-12-15,3469349213242,1226390620364,8538397.805699488,344600.00942923373,4695739833606,0.26117090465427634
2025-12-22,3072483072607,1253828324629,7167605.109267994,375141.5193570579,4326311397236,0.28981462717409745
2025-12-29,2970222177139,1365915453792,6892853.112098525,412629.9932230075,4336137630931,0.3150074029127918
2026-01-05,3762195752261,1357181297321,10519483.40540867,429935.2935359165,5119377049582,0.2651067276694954
