date,open_share_all,open_share_no_free,open_share_stealth_revealed,stealth_share,free_share
2024-12-30,0.2571966341730532,0.25906852191142005,0.2571966341730532,0.0,0.0072254541947280055
2025-01-06,0.24102811762754592,0.24318370577313106,0.24102811762754592,0.0,0.009633878887468278
2025-01-13,0.22666518275773803,0.22977851343620137,0.22666518275773803,0.0,0.013549268083883622
2025-01-20,0.23449936049138775,0.2388349822494127,0.23449936049138775,0.0,0.01815321071139105
2025-01-27,0.23847228269537607,0.2351748773233381,0.23847228269537607,0.0,0.021213774955096895
2025-02-03,0.2382302331154154,0.230933020568319,0.2382302331154154,0.0,0.044125970098649686
2025-02-10,0.2311211139386589,0.21348281140678863,0.2311211139386589,0.0,0.08466749880647462
2025-02-17,0.19437087318954502,0.16008827445132906,0.19437087318954502,0.0,0.10577062992183371
2025-02-24,0.19167600211184924,0.14753395512608516,0.19167600211184924,0.0,0.11052270946600062
2025-03-03,0.20311099805738841,0.16021542109704764,0.20311099805738841,0.0,0.1221488653543293
2025-03-10,0.21220817150653415,0.1601126101073438,0.21220817150653415,0.0,0.12146578655153882
2025-03-17,0.2521756739619005,0.2008322952023663,0.2521756739619005,0.0,0.12376073241798921
2025-03-24,0.3091704361434373,0.2495139579504292,0.3091704361434373,0.0,0.2120732989700489
2025-03-31,0.28562290681766594,0.22382469203340413,0.27282700472006977,0.04479998554795455,0.21086442316112736
2025-04-07,0.2539172202128014,0.19768500418513218,0.21463071225536323,0.1547217157013344,0.16050087507552166
2025-04-14,0.22753981087465106,0.1757736139718784,0.22379736870880582,0.01644741705400687,0.1961584811805129
2025-04-21,0.24705645718874436,0.18407987478732807,0.24705645718874436,0.0,0.1778202727981579
2025-04-28,0.2610710106824462,0.18224354667269982,0.2610710106824462,0.0,0.11142409841354922
2025-05-05,0.2252098393739204,0.1681686880100062,0.2252098393739204,0.0,0.08686172192662302
2025-05-12,0.19092807914932472,0.13022039401098165,0.19092807914932472,0.0,0.07486506569423972
2025-05-19,0.18289132900062255,0.12015692386926366,0.18289132900062255,0.0,0.07439352729166661
2025-05-26,0.19615679205708964,0.12870584744270938,0.19615679205708964,0.0,0.0802796811046668
2025-06-02,0.22392647936965626,0.14480007186009144,0.22392647936965626,0.0,0.09580179332233556
2025-06-09,0.24841230003113812,0.15621469130572094,0.24841230003113812,0.0,0.11293755276572111
2025-06-16,0.23689480056799725,0.14867691802104302,0.23689480056799725,0.0,0.1063339100191162
2025-06-23,0.24121784923845377,0.15875644563090974,0.24121784923845377,0.0,0.09875562382945462
2025-06-30,0.27887102754356,0.1927572526797908,0.27887102754356,0.002703367908663692,0.10947776461647715
2025-07-07,0.28398953248895364,0.17789705775311315,0.28398953248895364,0.0019599605388540215,0.1325088528134198
2025-07-14,0.3341085002579719,0.21262086702462632,0.3341085002579719,0.0,0.15504854418294037
2025-07-21,0.34033332901622443,0.2151866003617493,0.34033332901622443,0.0,0.15946048922222766
2025-07-28,0.3766376348746086,0.24734551924606044,0.3766376348746086,0.044430658559082674,0.1645584998399922
2025-08-04,0.420076404708941,0.32196103337795745,0.420076404708941,0.05851652617396403,0.13714905865265822
2025-08-11,0.405077632031772,0.29467958680040157,0.405077632031772,0.0,0.1565218348502965
2025-08-18,0.40088530353526874,0.3110828795806927,0.40088530353526874,0.0,0.13035301532340796
2025-08-25,0.33437902006944653,0.26942690638702077,0.33437902006944653,0.0,0.08936426673961195
2025-09-01,0.2656599661150118,0.2016578380496448,0.2656599661150118,0.01752412763004462,0.080173331232753
2025-09-08,0.28788898107218314,0.21094270315030272,0.28788898107218314,0.05246082700930619,0.09240091034947844
2025-09-15,0.23959638537238895,0.18064257608697562,0.23959638537238895,0.06029687559163387,0.10904358439476493
2025-09-22,0.20381768222900218,0.19808111082838625,0.20381768222900218,0.0,0.23625774332602878
2025-09-29,0.23663961241226553,0.2180763541253625,0.23663961241226553,0.0,0.18681450128626526
2025-10-06,0.26763202051564544,0.23688133308854048,0.26763202051564544,0.0,0.040296075512817726
2025-10-13,0.2272682146033495,0.19893415013315902,0.2272682146033495,0.0,0.03537045609284229
2025-10-20,0.230615548040365,0.20365343148069837,0.230615548040365,0.0033331571869675493,0.03374441311029345
2025-10-27,0.25278387706913297,0.19678677107474957,0.25278387706913297,0.0,0.06971636419548399
2025-11-03,0.28121284143752795,0.21411637088208182,0.28121284143752795,0.01407136933035839,0.0841324094011454
2025-11-10,0.24651553908492504,0.22150709836723453,0.24651553908492504,0.04286375258956472,0.03766707795203917
2025-11-17,0.22248035700155452,0.2131283837543201,0.22248035700155452,0.039501404142164284,0.04871094864675484
2025-11-24,0.1781191145833939,0.2201083239717945,0.1781191145833939,0.009121168473426797,0.26019480638615106
2025-12-01,0.23214416578306743,0.24487159166524175,0.23214416578306743,0.003096627794187279,0.13920405638373798
2025-12-08,0.3034313513843489,0.2722846939562909,0.3034313513843489,0.0,0.06766029662280237
2025-12-15,0.32304044911406704,0.26117090465427634,0.32304044911406704,0.0,0.10878103888211113
2025-12-22,0.3815705703149195,0.28981462717409745,0.3815705703149195,0.0,0.16016373029159883
2025-12-29,0.3941025185603145,0.3150074029127918,0.3941025185603145,0.0,0.14388229866890453
2026-01-05,0.34679022831458767,0.2651067276694954,0.34679022831458767,0.0,0.12164148267827046
2026-01-12,0.3182142033325884,0.23036187743439648,0.3182142033325884,0.0,0.11387356275759294
2026-01-19,0.34960812541459196,0.25805609214385583,0.34960812541459196,0.0,0.12249044742805229
2026-01-26,0.35471601689212306,0.3221747218201541,0.35471601689212306,0.0,0.04783687224249242
2026-02-02,0.44020446567413635,0.4017225845399924,0.44020446567413635,0.004387447757121403,0.06394697317331098
2026-02-09,0.5388804694918545,0.5056254601022091,0.5388804694918545,0.012985063668144094,0.06610584924053728
2026-02-16,0.5567491719092784,0.5236076270510316,0.5567491719092784,0.0002766583777171828,0.06914654278312987
2026-02-23,0.49636697200517427,0.45054260263873286,0.49636697200517427,0.0,0.0830780460040372
2026-03-02,0.48376333045136,0.42773693288395087,0.48376333045136,0.0,0.09760158955918481
2026-03-09,0.49409444146847503,0.41058797752236315,0.47280362225153066,0.055723561465114715,0.1335890527237886
2026-03-16,0.4188332644371408,0.3306464369931536,0.39812722734390127,0.06332385150589943,0.12307630179986183
2026-03-23,0.37325040099677487,0.2995810646646993,0.37325040099677487,0.0,0.10496323989679009
2026-03-30,0.2912439808442319,0.31981569903886525,0.2912439808442319,0.0,0.31836984190178425
2026-04-06,0.40192125909052756,0.3915235106964646,0.40192125909052756,0.0,0.16006673891330508
2026-04-13,0.3932660569021864,0.3647460133459381,0.3932660569021864,0.030473222409215746,0.04341376898962931
2026-04-20,0.4512349229319721,0.425011488054231,0.4512349229319721,0.006617843655533972,0.08471107452559079
2026-04-27,0.5564059508417157,0.472278697196982,0.5575606952349592,0.0025941801669244215,0.2052284552106438
2026-05-04,0.5730264756682776,0.5015844184629673,0.580557060531951,0.017599595717988463,0.17187719118141323
2026-05-11,0.5677543870772671,0.5584024714991553,0.5838152407343556,0.03707245971982848,0.06110634343189411
2026-05-18,0.575645449352073,0.5557875103897062,0.5943850270524139,0.044124784131185674,0.04269531072156716
2026-05-25,0.5922425389464782,0.5677676640772568,0.6155694885457283,0.05704926112074441,0.053236947816667525
2026-06-01,0.5767505457101926,0.5535433395302942,0.6016258872540057,0.05833420769755342,0.048561144608963755
2026-06-08,0.6174827377880912,0.5913468604062726,0.6402893377668384,0.05934742180738016,0.059865534829404154
2026-06-15,0.6897061614621447,0.6707252338129189,0.7078792705077759,0.05841199573838261,0.054124534291977465
2026-06-22,0.6876788813160333,0.6709707967507273,0.7123953570770605,0.07895870358350561,0.04665536318336664
2026-06-29,0.6888046445586236,0.6703007810382151,0.6943151371614468,0.017594009289296483,0.05477631658332852
2026-07-06,0.7360681935444109,0.6750551175574805,0.7360681935444109,0.0,0.18676523294729955
2026-07-13,0.7629657597629197,0.6779486087699272,0.7629657597629197,0.0,0.26303705568838576
2026-07-20,0.7691700774149925,0.7426721485084501,0.7691700774149925,0.0,0.1023106166582646
2026-07-27,0.75497336225842,0.7257204758436754,0.75497336225842,0.0,0.10562121270427088
2026-08-03,0.7235919751669012,0.6974375763796955,0.7235919751669012,0.0,0.08644298414276237
2026-08-10,0.697453762523542,0.6739666365898097,0.697453762523542,0.0,0.07201734987913638
2026-08-17,0.7369869957409444,0.7064739835608211,0.7369869957409444,0.13124797764953303,0.09028047881742475
2026-08-24,0.7326632777771946,0.6984775223749744,0.7326632777771946,0.14627324495979618,0.10511490362637534
2026-08-31,0.7163277467468487,0.6866481309370047,0.7163277467468487,0.0,0.12071661573545366
2026-09-07,0.6770409207161755,0.667139315589212,0.6770409207161755,0.0,0.07691219160650352
2026-09-14,0.7437148940584228,0.7352403618996073,0.7437148940584228,0.008076926608644593,0.09289108913773794
2026-09-21,0.7779319479139373,0.7745977793940385,0.7779319479139373,0.0,0.07800676020482508
