date,open_tokens,open_price_w,open_n_models,open_price_g,open_quality_w,open_quality_coverage,closed_tokens,closed_price_w,closed_n_models,closed_price_g,closed_quality_w,closed_quality_coverage,open_share_paid,ratio_w,ratio_g,quality_gap
2024-12-30,70179377596,0.2092354094016565,32,0.16359590868321902,7.545038778766227,0.29507113253709283,200348472431,4.077626216057178,20,1.0565417796036332,7.558291025375506,0.927193238465925,0.25941646151771713,19.488222513186603,6.4582408454326385,
2025-01-06,115794894440,0.19049603628721845,34,0.16271939665499457,6.832881459102344,0.38907641765971457,360367330623,4.0667073917416,27,1.0531432488940446,7.54914040319188,0.9222377105894863,0.24318370577313106,21.347989548769736,6.472143275745848,
2025-01-13,113200295056,0.19999874854620248,33,0.13956258008610264,6.841212509679924,0.34547276796101567,379449315054,4.053435614545173,26,1.2481825464553253,7.531841884633939,0.9262926861100809,0.22977851343620137,20.26730489070422,8.943533042204175,
2025-01-20,118946720784,0.28650879879048136,35,0.1720952001370302,8.360500597621135,0.3354376886644445,379082167881,4.087502809143084,24,0.8875229942480873,7.542567796265141,0.9310828512851569,0.2388349822494127,14.266587366247693,5.157162974571053,
2025-01-27,125670049363,0.28860231653366536,33,0.14243220260858347,8.420637223974833,0.38961373454680687,408698463096,4.702650372089231,30,0.8329286016567874,7.707423144914799,0.9053875808142757,0.2351748773233381,16.294569040788236,5.847895254037111,
2025-02-03,156187137319,0.24602184616069905,31,0.15769650205496366,7.7049462848182175,0.3845590751517883,520143761288,4.236502419391444,26,0.7308717632005804,7.727198408741378,0.9433160077937087,0.230933020568319,17.220025316874512,4.63467327224444,
2025-02-10,156410399034,0.255950816848818,29,0.13080484941794746,7.807835110208004,0.3748166368609304,576249987080,3.723281173587386,29,0.656957759606227,7.922252426218099,0.9498433622194815,0.21348281140678863,14.546861851926067,5.022426634253571,
2025-02-17,130645442483,0.3569024572149194,29,0.1391212938254725,8.268148236048129,0.41198931110056763,685438327117,2.7768958262448717,24,0.6676409165914527,8.13722845633188,0.9540807130199659,0.16008827445132906,7.780545552738185,4.798984384295674,
2025-02-24,139197424364,0.3424932652215286,25,0.14106748093277718,7.729564536999891,0.4418921940118033,804296730897,3.073691994912495,26,0.8438774294359579,11.397468745914589,0.9640144506248074,0.14753395512608516,8.974459666891246,5.98208335369716,
2025-03-03,173926990433,0.3252491433136771,26,0.16144222665658794,7.73198584655722,0.4125534726919861,911655091754,3.021104330334556,23,0.7290737048802758,11.975216608702771,0.9632769108955584,0.16021542109704764,9.288585050694321,4.516003774100105,
2025-03-10,192887485719,0.33496242651789726,26,0.1450572917512883,7.965744057978379,0.5276770939265457,1011811417070,3.243644064832532,24,0.5077285827611561,12.463732104272513,0.9707798222700282,0.1601126101073438,9.68360570632307,3.500193452058206,
2025-03-17,249229997778,0.27705147752344067,27,0.12255471464939129,7.857432251954748,0.5707445713485312,991755659070,3.3862107192773556,20,0.5060964393473212,12.619619065781528,0.971401598622995,0.2008322952023663,12.222316045908315,4.12955503829599,
2025-03-24,307143047146,0.24583497432997997,27,0.12306893485211824,8.046733898216832,0.618539122523888,923822345207,3.3827379208613144,23,0.6967849544463702,12.872059331106518,0.9688464149061569,0.2495139579504292,13.760197994939176,5.66174522663773,4.825325432889686
2025-03-31,329651963666,0.24815814375159026,29,0.13821529398570126,8.137225189501663,0.6191088384893783,1143161248635,2.6687466607015566,21,0.7599070216448057,11.60677648031941,0.9818099316497743,0.22382469203340413,10.75421753385216,5.497995190918743,3.469551290817746
2025-04-07,286438670663,0.2535034737794253,28,0.1264400545858511,8.460529623065115,0.5451498161982308,1162526423294,2.910398467343528,25,0.6608536699192262,12.093315498159415,0.9737051216897207,0.19768500418513218,11.480704480901439,5.226616455393219,
2025-04-14,234629460597,0.2753729122592646,25,0.14454044411427697,8.735788454441074,0.5221440388103011,1100209456890,3.3434305171179,25,0.6890729541295288,13.244224320684122,0.962481344768038,0.1757736139718784,12.141464785650552,4.7673366326779245,
2025-04-21,253203301544,0.2493087667327421,25,0.13113353003825534,8.545160301867883,0.5577877191876084,1094749366463,3.0358526487229978,26,0.6814901999228248,13.102254831564428,0.9638828088480685,0.18784287279045994,12.1770794044215,5.196917979131767,
2025-04-28,274291119578,0.23913009413806727,26,0.12276622471719816,8.470196479986068,0.5899622813854276,1119797966711,2.74472936402779,23,0.6742238774592343,12.528509471054145,0.9671847568709833,0.1967529351428682,11.477975509193156,5.4919329727077875,
2025-05-05,308838035613,0.2568481451615184,25,0.12669103244544272,8.683804857809125,0.6152658348310047,1408484376391,2.25298107429256,23,0.8765293669932434,11.525659300692087,0.9654428215052574,0.1798369563305278,8.771646269338552,6.9186378078551485,2.841854442882962
2025-05-12,245668141727,0.279477363054475,23,0.13658485498618636,8.93180801338463,0.5585051282411372,1628237991542,2.149573172470277,25,0.6878634745780746,11.386571892043845,0.9684405908368866,0.13109949178640862,7.691403514678531,5.0361621326730726,
2025-05-19,250743996713,0.2781547538114558,26,0.12049421191433224,8.880053306837578,0.571754078495819,1836060397396,2.417328955592127,24,0.8862271029663236,11.82830716506027,0.9691097809715639,0.12015692386926366,8.690590121032724,7.354935053614064,
2025-05-26,281869920826,0.29148333655654357,24,0.13992680980813463,9.022862522095283,0.6453588911471417,1908162050732,2.5948893769062096,24,1.0433705005432103,12.057219312800889,0.9642734887768845,0.12870584744270938,8.902359248254449,7.4565446176745045,3.0343567907056066
2025-06-02,293795722126,0.30888381245686547,25,0.134586386109616,9.281329815820168,0.647304201214474,1735179252485,2.6539383171477318,21,1.1329014467951741,12.471539500916489,0.9694654125946229,0.14480007186009144,8.59202784386231,8.41765262849442,3.1902096850963204
2025-06-09,237623927081,0.30773291746615805,24,0.13163945303739066,9.402039302675048,0.6565014725635073,1283512946121,2.9932360876593833,25,1.1473430990982476,13.35404996598181,0.9447111875945893,0.15621469130572094,9.726733533433435,8.715799652953269,3.952010663306762
2025-06-16,283004190473,0.33152326084799655,23,0.14425866206778712,9.520840339854974,0.7004839384380531,1620480185178,2.933525627319809,26,1.096868142636673,13.251291757310103,0.9537087077551891,0.14867691802104302,8.848626849941702,7.603482015667488,3.7304514174551286
2025-06-23,319518838286,0.28972089378695826,24,0.12236232560610345,9.29693988753345,0.6632600933823739,1693116535454,2.629888534872366,29,1.181473698192921,13.163557387675802,0.9488627948838834,0.15875644563090974,9.077317484759018,9.65553484163257,3.866617500142352
