quarter,creator,label,total_tokens,spend_usd,spend_share,token_share,price_per_mtok,price_vs_average
2025Q1,anthropic,closed,4748593511783,27856258.6036236,0.9420121273441707,0.456459974557331,5.866212497343058,2.063734346604479
2025Q1,openai,closed,537672181060,575802.1367917251,0.019471839471576918,0.05168389955422398,1.0709167352801354,0.37674865169854505
2025Q1,google,closed,2862536733706,481451.2410861343,0.01628118529058472,0.27516220148021303,0.1681904149620538,0.05916941063489602
2025Q1,deepseek,open,408899770270,266041.439103145,0.00899669498252927,0.03930561297167354,0.6506275093465461,0.22889084541215368
2025Q1,meta-llama,open,722600187568,109304.28808580895,0.003696331456879818,0.06946015960598918,0.151265236248673,0.053215130484109946
2025Q1,nousresearch,open,83997618345,63779.642751058745,0.0021568293791385386,0.008074296238980167,0.7593029898669176,0.2671228940952208
2025Q1,microsoft,open,109543668097,46264.530694935,0.001564522702084845,0.010529917927992637,0.4223387028994514,0.14857881255899744
2025Q1,cohere,closed,58519853531,26905.202186829374,0.0009098503538929395,0.005625238460099146,0.4597619536517936,0.16174431721369253
2025Q1,mistralai,closed,58125006320,26049.3781804,0.0008809090447099513,0.0055872836535991,0.44816129631003193,0.15766320439852835
2025Q1,mistralai,open,404515353521,23416.829793003748,0.0007918844365586966,0.03888415959758892,0.0578886056837595,0.020365219275763867
2025Q1,x-ai,closed,5568919263,22275.677052000006,0.0007532941959785157,0.0005353140332591546,4.000000000000002,1.4072005387047894
2025Q1,qwen,open,151215708091,19449.586709566243,0.0006577246001679521,0.014535655262260925,0.128621470316177,0.045249050579481566
2025Q1,minimax,open,42480767470,18054.32617475,0.0006105412234157474,0.004083476505288669,0.425,0.1495150572373838
2025Q1,gryphe,open,104514342649,6927.21230618,0.00023425680002340615,0.010046472511926138,0.06628001603037667,0.02331731856582702
2025Q1,thedrummer,open,14378506028,6642.3574718125,0.000224623894458985,0.0013821382014332403,0.46196436951638076,0.1625191274114673
2025Q1,neversleep,open,14337983750,6048.8368945312495,0.00020455287237439962,0.0013782429853152493,0.421875,0.14841568181652068
2025Q1,sao10k,open,9042278314,5050.5499355375,0.00017079390871302277,0.0008691917130634702,0.558548383510583,0.19649739654219534
