date,open_share_paid,ratio_g,ratio_w,front_open,front_closed,frontier_gap,mean_q_closed,mean_q_open,n_models_closed,n_models_open,n_scored_closed,n_scored_open,unweighted_gap,cover_open,cover_closed,y,trend,log_ratio_g,frontier_rel,unweighted_rel,frontier_rel_lag1,frontier_rel_lag2,frontier_rel_lag4,open_event,closed_event,no_event,d4,d8
2024-12-30,0.2594164615177171,6.4582408454326385,19.488222513186606,8.5,8.9,0.4000000000000003,,,22,32,6,4,,0.125,0.2727272727272727,-1.0490037111157597,0.0,1.8653569657615543,0.04598511324182344,,,,,0,0,1,-0.13031410255204356,-0.7050713136571622
2025-01-06,0.243183705773131,6.472143275745848,21.347989548769736,8.5,8.9,0.4000000000000003,,,27,34,6,4,,0.1176470588235294,0.2222222222222222,-1.1353033993731694,0.0192307692307692,1.8675073172963588,0.04598511324182344,,0.0459851132418234,,,0,0,1,-0.06774695150331445,-0.521322714356308
2025-01-13,0.2297785134362013,8.943533042204175,20.267304890704228,8.5,8.9,0.4000000000000003,,,26,33,6,4,,0.1212121212121212,0.2307692307692307,-1.2095622584787191,0.0384615384615384,2.190930705993919,0.04598511324182344,,0.0459851132418234,0.0459851132418234,,0,0,1,-0.0944959975232531,-0.44782818387585577
2025-01-20,0.2388349822494127,5.157162974571053,14.266587366247697,11.4,8.9,-2.5,,,24,35,6,6,,0.1714285714285714,0.25,-1.1590773150323614,0.0576923076923076,1.6403866171622672,-0.24756207866235563,,0.0459851132418234,0.0459851132418234,,1,0,0,-0.49849410423457474,-0.2220232945066376
2025-01-27,0.2351748773233381,5.847895254037111,16.29456904078824,11.4,8.9,-2.5,,,30,33,6,6,,0.1818181818181818,0.2,-1.1793178136678033,0.0769230769230769,1.7660818108707033,-0.24756207866235563,,-0.2475620786623556,0.0459851132418234,0.0459851132418234,0,0,1,-0.5747572111051187,0.07811161828488489
2025-02-03,0.230933020568319,4.63467327224444,17.220025316874512,11.4,8.9,-2.5,,,26,31,7,6,,0.1935483870967742,0.2692307692307692,-1.2030503508764838,0.0961538461538461,1.5335657051080334,-0.24756207866235563,,-0.2475620786623556,-0.2475620786623556,0.0459851132418234,0,0,1,-0.4535757628529935,-0.040464935527018575
2025-02-10,0.2134828114067886,5.022426634253571,14.546861851926066,11.4,8.9,-2.5,,,29,29,7,6,,0.2068965517241379,0.2413793103448276,-1.3040582560019722,0.1153846153846153,1.613913210184349,-0.24756207866235563,,-0.2475620786623556,-0.2475620786623556,0.0459851132418234,0,0,1,-0.35333218635260266,-0.09676816168015767
2025-02-17,0.160088274451329,4.798984384295674,7.780545552738184,11.4,8.9,-2.5,,,24,29,7,6,,0.2068965517241379,0.2916666666666667,-1.6575714192669362,0.1346153846153846,1.5684043089211737,-0.24756207866235563,,-0.2475620786623556,-0.2475620786623556,-0.2475620786623556,0,0,1,0.27647080972793714,0.11232306958007787
2025-02-24,0.1475339551260851,5.98208335369716,8.974459666891248,11.4,17.7,6.299999999999999,,,26,25,9,6,,0.24,0.3461538461538461,-1.754075024772922,0.1538461538461538,1.788768894195793,0.43995128417933366,,-0.2475620786623556,-0.2475620786623556,-0.2475620786623556,0,1,0,0.6528688293900036,0.2899870272546208
2025-03-03,0.1602154210970476,4.516003774100105,9.28858505069432,11.4,17.7,6.299999999999999,,,23,26,8,6,,0.2307692307692307,0.3478260869565217,-1.6566261137294773,0.173076923076923,1.5076274820045388,0.43995128417933366,,0.4399512841793336,-0.2475620786623556,-0.2475620786623556,0,0,1,0.4131108273259749,0.2499125751443123
2025-03-10,0.1601126101073438,3.500193452058206,9.68360570632307,11.4,17.7,6.299999999999999,,,24,26,8,7,,0.2692307692307692,0.3333333333333333,-1.6573904423545749,0.1923076923076923,1.2528182389845566,0.43995128417933366,,0.4399512841793336,0.4399512841793336,-0.2475620786623556,0,0,1,0.256564024672445,0.13993793036125002
